model,train_val,parameters,n_features,ssr,r2,r2adj,mae,rmse,VIF,percBias,region
Ecoregion_NorthEast_strd_lasso,valin,alpha0.01,26,49.176144,0.645207399,0.615257374,0.308095198,0.383137651,31.74725512,-10.81467507,NorthEast
Ecoregion_NorthEast_strd_lasso,valnit,alpha0.01,26,18.51073226,0.605976688,0.463690492,0.316218363,0.43240848,41.1600933,0.455319726,NorthEast
Ecoregion_NorthEast_strd_mlr,train,forwardklim80,13,22.0187483,0.781831891,0.772996423,0.169629167,0.256373959,14.62089559,8.75E-14,NorthEast
Ecoregion_NorthEast_strd_mlr,valin,forwardklim80,13,19.87355188,0.856617689,0.850810929,0.171670911,0.243565259,14.66433119,8.57E-14,NorthEast
Ecoregion_NorthEast_strd_mlr,valnit,forwardklim80,13,15.31538762,0.673993461,0.624133638,0.269301454,0.393320334,13.42063467,-3.65E-14,NorthEast
Ecoregion_NorthEast_strd_PCA_lasso,train,alpha0.01nc31,27,24.25370154,0.75968733,0.73855234,0.176970804,0.269070825,1,7.29E-15,NorthEast
Ecoregion_NorthEast_strd_PCA_lasso,valin,alpha0.01nc31,27,54.47503012,0.606977366,0.572411857,0.322502116,0.40325182,1.217136285,-10.80300697,NorthEast
Ecoregion_NorthEast_strd_PCA_lasso,valnit,alpha0.01nc31,27,21.10250768,0.550807615,0.379987976,0.337701111,0.461688903,14.57954574,-0.965434166,NorthEast
Ecoregion_NorthEast_strd_PCA_mlr,train,alpha0.01nc31,15,26.3560186,0.738856966,0.726577513,0.192726273,0.280490075,1,6.94E-15,NorthEast
Ecoregion_NorthEast_strd_PCA_mlr,valin,alpha0.01nc31,15,56.95562725,0.589080527,0.569758295,0.325749779,0.412330932,1.051582308,-10.77585026,NorthEast
Ecoregion_NorthEast_strd_PCA_mlr,valnit,alpha0.01nc31,15,19.73203314,0.579979822,0.504072561,0.326379614,0.446445367,4.021078613,-2.695028205,NorthEast
Ecoregion_NorthEast_strd_UMAP_lasso,train,nn2mind0.61nc80alpha0.01,55,38.24692878,0.621038399,0.546332707,0.240123788,0.337890421,4.465929639,1.49E-05,NorthEast
Ecoregion_NorthEast_strd_UMAP_lasso,valin,nn2mind0.61nc80alpha0.01,55,80.88044574,0.416469422,0.301436512,0.379688672,0.491359508,4.681545844,-10.65304454,NorthEast
Ecoregion_NorthEast_strd_UMAP_lasso,valnit,nn2mind0.61nc80alpha0.01,55,31.00468842,0.340027728,-0.504122852,0.437512986,0.559623687,47.2638883,-1.353633188,NorthEast
Ecoregion_NorthEast_strd_UMAP_mlr,train,nn2mind0.61nc80forwardklim80,32,40.39087619,0.59979555,0.55738978,0.249349245,0.347231594,2.320858464,7.21E-06,NorthEast
Ecoregion_NorthEast_strd_UMAP_mlr,valin,nn2mind0.61nc80forwardklim80,32,79.56847669,0.425934924,0.365106837,0.372592578,0.487358021,2.212272942,-10.65157499,NorthEast
Ecoregion_NorthEast_strd_UMAP_mlr,valnit,nn2mind0.61nc80forwardklim80,32,29.34478054,0.375360874,0.07250554,0.412104119,0.544437255,5.662181234,-1.24935247,NorthEast
Ecoregion_EastHghlnds_regr_precip,train,none,1,65.98403344,0.415551726,0.414017741,0.336355463,0.415068755,1,-1.50E-14,EastHghlnds
Ecoregion_EastHghlnds_regr_precip,valin,none,1,70.05234452,0.364355255,0.362686897,0.323629838,0.427673116,1,-7.555756474,EastHghlnds
Ecoregion_EastHghlnds_regr_precip,valnit,none,1,144.071276,0.210443699,0.205826411,0.344189584,0.91256887,1,-5.69359777,EastHghlnds
Ecoregion_EastHghlnds_raw_lasso,train,alpha0.01,35,10.84712686,0.903922445,0.894231626,0.119847449,0.168289869,75.77408478,1.58E-13,EastHghlnds
Ecoregion_EastHghlnds_raw_lasso,valin,alpha0.01,35,33.75459821,0.693715705,0.662822476,0.226012723,0.296870528,76.65218362,-7.311578696,EastHghlnds
Ecoregion_EastHghlnds_raw_lasso,valnit,alpha0.01,35,140.0065823,0.23271951,0.036698947,0.295133974,0.899603581,229.1423787,-9.357499085,EastHghlnds
Ecoregion_EastHghlnds_raw_mlr,train,forwardklim80,14,11.82769539,0.895237138,0.891251595,0.125281432,0.17573193,4.761579872,1.76E-14,EastHghlnds
Ecoregion_EastHghlnds_raw_mlr,valin,forwardklim80,14,34.74634308,0.684716757,0.672722286,0.23375165,0.301200137,4.731257106,-7.711514127,EastHghlnds
Ecoregion_EastHghlnds_raw_mlr,valnit,forwardklim80,14,138.0812477,0.243270954,0.176219013,0.305330786,0.893396609,6.018231575,-9.954830191,EastHghlnds
Ecoregion_EastHghlnds_strd_lasso,train,alpha0.01,30,11.35939413,0.899385079,0.890809944,0.123276765,0.172217864,40.90611662,-7.49E-15,EastHghlnds
Ecoregion_EastHghlnds_strd_lasso,valin,alpha0.01,30,33.43376604,0.696626889,0.670771226,0.227744398,0.295456305,41.39164378,-7.260789011,EastHghlnds
