model,train_val,parameters,n_features,ssr,r2,r2adj,mae,rmse,VIF,percBias,region,clust_method
raw_lasso,valnit,alpha0.05,29,430.3414711,0.694271336,0.667240448,0.568824096,1.096390053,97.42222532,-4.743684752,WestMnts,Ecoregion
raw_mlr,train,forwardklim80,4,468.4251049,0.889968528,0.889447669,0.441625962,0.742353257,1.395162623,-3.55E-14,WestMnts,Ecoregion
raw_mlr,valin,forwardklim80,4,608.7783217,0.88388516,0.883335504,0.526187801,0.846291788,1.367747227,-9.912817143,WestMnts,Ecoregion
raw_mlr,valnit,forwardklim80,4,436.6331271,0.689801538,0.686286541,0.55281086,1.104375664,1.244755964,-4.179949493,WestMnts,Ecoregion
strd_lasso,train,alpha0.02,28,411.9664938,0.903230464,0.899930163,0.414334602,0.696179907,13.41408071,8.48E-15,WestMnts,Ecoregion
strd_lasso,valin,alpha0.02,28,566.066201,0.892031822,0.888349594,0.505838028,0.816063868,13.25074623,-10.07822985,WestMnts,Ecoregion
strd_lasso,valnit,alpha0.02,28,423.9506336,0.698811596,0.673178541,0.553678302,1.088218566,10.15144294,-2.681153507,WestMnts,Ecoregion
strd_mlr,train,forwardklim80,4,468.4251049,0.889968528,0.889447669,0.441625962,0.742353257,1.395162623,-3.55E-14,WestMnts,Ecoregion
strd_mlr,valin,forwardklim80,4,506.9289787,0.903311312,0.902853614,0.479635562,0.772260988,1.367747227,1.26E-14,WestMnts,Ecoregion
strd_mlr,valnit,forwardklim80,4,415.0913109,0.705105549,0.701763969,0.550376521,1.07678825,1.244755964,3.54E-15,WestMnts,Ecoregion
strd_PCA_lasso,train,alpha0.01nc36,35,674.3525933,0.841596857,0.834785911,0.599517823,0.890705334,1,-5.81E-16,WestMnts,Ecoregion
strd_PCA_lasso,valin,alpha0.01nc36,35,808.4846133,0.845794343,0.839163878,0.642939888,0.975273484,1.017310936,-10.09479062,WestMnts,Ecoregion
strd_PCA_lasso,valnit,alpha0.01nc36,35,607.5798756,0.568355374,0.52143748,0.744212446,1.302747286,224.6642752,-2.553202154,WestMnts,Ecoregion
strd_PCA_mlr,train,alpha0.01nc36,34,672.2643518,0.842087378,0.835499612,0.600217158,0.889325158,1,1.20E-14,WestMnts,Ecoregion
strd_PCA_mlr,valin,alpha0.01nc36,34,792.0230657,0.848934122,0.842631988,0.64223793,0.965293656,1.017317641,-9.935600106,WestMnts,Ecoregion
strd_PCA_mlr,valnit,alpha0.01nc36,34,616.7040284,0.561873277,0.515754675,0.75540638,1.312492648,64.0206972,-2.954569843,WestMnts,Ecoregion
regr_precip,train,none,1,35.73432636,0.386428077,0.384747058,0.14217327,0.31203964,1,2.04E-14,WestPlains,Ecoregion
regr_precip,valin,none,1,27.02507651,0.250319288,0.248265368,0.179914109,0.271362876,1,22.0224282,WestPlains,Ecoregion
regr_precip,valnit,none,1,11.31548452,0.417482625,0.413908898,0.163768231,0.261875341,1,-13.66489471,WestPlains,Ecoregion
raw_lasso,train,alpha0.4,13,31.05355148,0.466798755,0.447162448,0.108316103,0.290885857,14.12780284,9.23E-15,WestPlains,Ecoregion
raw_lasso,valin,alpha0.4,13,23.05903824,0.360337936,0.336780976,0.145942794,0.250661459,14.12334524,22.85065828,WestPlains,Ecoregion
raw_lasso,valnit,alpha0.4,13,8.371728376,0.569026211,0.531922507,0.129490207,0.225250411,14.00867978,-6.742872864,WestPlains,Ecoregion
raw_mlr,train,forwardklim80,3,32.65205363,0.439351867,0.434718412,0.118218046,0.298278684,1.302400966,6.02E-14,WestPlains,Ecoregion
raw_mlr,valin,forwardklim80,3,24.37210073,0.323913335,0.318325842,0.15412945,0.257699425,1.301878222,22.43696674,WestPlains,Ecoregion
raw_mlr,valnit,forwardklim80,3,8.472414337,0.563842931,0.555715781,0.136063005,0.226600895,1.151673984,-4.235385008,WestPlains,Ecoregion
strd_lasso,train,alpha0.03,8,28.4641302,0.511260099,0.500338537,0.110807277,0.278494054,2.459849149,8.38E-15,WestPlains,Ecoregion
strd_lasso,valin,alpha0.03,8,19.95616306,0.446412278,0.434041603,0.141807721,0.23318762,2.460553503,22.78764259,WestPlains,Ecoregion
strd_lasso,valnit,alpha0.03,8,10.88292734,0.439750524,0.411019782,0.134876491,0.256821213,2.247628783,-8.060862368,WestPlains,Ecoregion
strd_mlr,train,forwardklim80,3,32.65205363,0.439351867,0.434718412,0.118218046,0.298278684,1.302400966,6.02E-14,WestPlains,Ecoregion
strd_mlr,valin,forwardklim80,3,21.7605136,0.396359254,0.391370488,0.123340392,0.243501443,1.301878222,-3.68E-14,WestPlains,Ecoregion
strd_mlr,valnit,forwardklim80,3,8.150786802,0.580400209,0.57258158,0.125726609,0.222258201,1.151673984,-1.80E-14,WestPlains,Ecoregion
strd_PCA_lasso,train,alpha0.02nc27,16,28.81081852,0.50530733,0.482692808,0.116245538,0.280184926,1,5.10E-15,WestPlains,Ecoregion
strd_PCA_lasso,valin,alpha0.02nc27,16,21.92213337,0.391875892,0.364075932,0.147735404,0.244404037,1.022957127,23.0731216,WestPlains,Ecoregion
strd_PCA_lasso,valnit,alpha0.02nc27,16,11.24772279,0.420970976,0.358373244,0.150663961,0.261090055,10.41167705,2.372410801,WestPlains,Ecoregion
strd_PCA_mlr,train,alpha0.02nc27,11,31.11589176,0.465728349,0.449173452,0.128479738,0.291177688,1,3.98E-14,WestPlains,Ecoregion
strd_PCA_mlr,valin,alpha0.02nc27,11,25.29323178,0.298360987,0.27662006,0.160733152,0.262524071,1.006835701,22.15002389,WestPlains,Ecoregion
strd_PCA_mlr,valnit,alpha0.02nc27,11,16.20975234,0.165527347,0.105532581,0.187877834,0.313434081,5.622082522,-3.939212826,WestPlains,Ecoregion
regr_precip,train,none,1,22.58792168,0.734686548,0.733696572,0.196292088,0.289238603,1,1.09E-14,WestXeric,Ecoregion
regr_precip,valin,none,1,23.75787133,0.58929695,0.587764476,0.210634792,0.296634651,1,18.85249736,WestXeric,Ecoregion
regr_precip,valnit,none,1,99.18588955,0.099031466,0.092549678,0.26827717,0.838716892,1,-13.27020621,WestXeric,Ecoregion
raw_lasso,train,alpha0.01,42,13.20151901,0.844937457,0.816247471,0.150045672,0.221121041,4327594.102,1.93E-13,WestXeric,Ecoregion
raw_lasso,valin,alpha0.01,42,19.04448829,0.670777347,0.609863905,0.183778958,0.265584529,4348445.614,18.30931318,WestXeric,Ecoregion
raw_lasso,valnit,alpha0.01,42,97.98286244,0.109959327,-0.271486676,0.271852184,0.83361497,4069598.198,-15.88724336,WestXeric,Ecoregion
raw_mlr,train,forwardklim80,5,18.28433566,0.785235654,0.781168148,0.174010032,0.260230209,2.331222365,3.00E-14,WestXeric,Ecoregion
raw_mlr,valin,forwardklim80,5,21.1406756,0.634540493,0.627618911,0.193989829,0.279819225,2.331222365,18.85249736,WestXeric,Ecoregion
raw_mlr,valnit,forwardklim80,5,99.82491829,0.093226762,0.059642568,0.259163695,0.841414371,1.604416501,-17.12939896,WestXeric,Ecoregion
strd_lasso,train,alpha0.01,21,16.15096442,0.810293829,0.79423,0.163382027,0.244577977,4.399415186,-3.92E-15,WestXeric,Ecoregion
strd_lasso,valin,alpha0.01,21,19.73227023,0.65888764,0.630003126,0.189567571,0.270337719,4.424766128,18.77649178,WestXeric,Ecoregion
strd_lasso,valnit,alpha0.01,21,98.44353146,0.105774777,-0.052029674,0.265131817,0.835572303,3.543744287,-16.25965392,WestXeric,Ecoregion
strd_mlr,train,forwardklim80,5,18.28433566,0.785235654,0.781168148,0.174010032,0.260230209,2.331222365,3.00E-14,WestXeric,Ecoregion
strd_mlr,valin,forwardklim80,5,15.56561762,0.730916691,0.725820416,0.157001585,0.240105051,2.331222365,-4.14E-14,WestXeric,Ecoregion
strd_mlr,valnit,forwardklim80,5,93.24836708,0.15296576,0.121594122,0.293024735,0.813225637,1.604416501,6.88E-14,WestXeric,Ecoregion
strd_PCA_lasso,train,alpha0.01nc32,27,25.52214383,0.70022173,0.666775394,0.204780173,0.307451555,1,-8.70E-16,WestXeric,Ecoregion
strd_PCA_lasso,valin,alpha0.01nc32,27,25.00306099,0.567771319,0.519547457,0.206978449,0.304308938,1.004909069,18.21876694,WestXeric,Ecoregion
strd_PCA_lasso,valnit,alpha0.01nc32,27,93.9956326,0.146177872,-0.057832725,0.329985508,0.816477613,30.47226892,-7.535053922,WestXeric,Ecoregion
strd_PCA_mlr,train,alpha0.01nc32,12,32.82456699,0.614448849,0.596446461,0.236976877,0.34867244,1,-1.59E-14,WestXeric,Ecoregion
strd_PCA_mlr,valin,alpha0.01nc32,12,30.93355354,0.465250712,0.440281874,0.23557829,0.338480009,1.001886753,19.54544132,WestXeric,Ecoregion
strd_PCA_mlr,valnit,alpha0.01nc32,12,95.82296967,0.129579007,0.047977039,0.335521288,0.824375842,20.84095366,-4.058950298,WestXeric,Ecoregion
