model,train_val,parameters,n_features,ssr,r2,r2adj,mae,rmse,VIF,percBias,region,clust_method
strd_UMAP_mlr,valin,nn80mind0.81nc80forwardklim80,41,2141.617736,0.711238894,0.707502951,0.529017689,0.81667794,1124347.257,-10.97749645,all_regions,none
strd_UMAP_mlr,valnit,nn80mind0.81nc80forwardklim80,41,1248.205962,0.503537081,0.487794638,0.525245899,0.966946606,1864512.115,-9.241953574,all_regions,none
strd_UMAP_mlr,train,nn80mind0.81nc80backwardklim1,38,1295.514192,0.783437364,0.780842982,0.390064961,0.635186025,8690495.698,-0.099472202,all_regions,none
strd_UMAP_mlr,valin,nn80mind0.81nc80backwardklim1,38,2319.618908,0.687238432,0.683491604,0.530527988,0.849939802,6254392.091,-9.975466168,all_regions,none
strd_UMAP_mlr,valnit,nn80mind0.81nc80backwardklim1,38,1244.433864,0.5050374,0.490524608,0.532256132,0.965484437,9115086.225,-9.077865749,all_regions,none
regr_precip,train,none,1,1283.948572,0.785370713,0.78530383,0.44608042,0.632344378,1,2.48E-14,all_regions,none
regr_precip,valin,none,1,1827.373075,0.753609498,0.753532717,0.544481111,0.754385718,1,2.32E-14,all_regions,none
regr_precip,valnit,none,1,1047.050651,0.583544833,0.583232414,0.469778545,0.885611429,1,3.09E-14,all_regions,none
regr_precip,train,none,1,19.66776331,0.637293055,0.636384015,0.167120268,0.221465102,1,-7.23E-15,CntlPlains,Ecoregion
regr_precip,valin,none,1,47.54936888,0.286595841,0.284807861,0.293094138,0.344350083,1,-22.18418289,CntlPlains,Ecoregion
regr_precip,valnit,none,1,12.96444112,0.50564313,0.501453665,0.184737319,0.328689838,1,-8.00282425,CntlPlains,Ecoregion
raw_lasso,train,alpha0.13,16,8.143885446,0.849812927,0.843555132,0.099920386,0.142509443,8.414245185,-3.18E-14,CntlPlains,Ecoregion
raw_lasso,valin,alpha0.13,16,40.57481023,0.391238221,0.365873147,0.262549593,0.318094428,8.306514327,-21.75400769,CntlPlains,Ecoregion
raw_lasso,valnit,alpha0.13,16,7.938648545,0.697285412,0.650261787,0.151031105,0.257206929,8.659626985,-10.51384293,CntlPlains,Ecoregion
raw_mlr,train,forwardklim80,14,7.202242222,0.867178426,0.862361064,0.093805337,0.13401755,4.687653933,-3.02E-14,CntlPlains,Ecoregion
raw_mlr,valin,forwardklim80,14,43.85426057,0.342035181,0.318171172,0.260368026,0.330699631,4.631396184,-21.79159234,CntlPlains,Ecoregion
raw_mlr,valnit,forwardklim80,14,10.48585207,0.600156076,0.546843553,0.165616444,0.295604636,4.164864412,-12.31943937,CntlPlains,Ecoregion
strd_lasso,train,alpha0.01,23,7.739730428,0.857266231,0.848558336,0.098856392,0.138928303,19.22691985,2.84E-15,CntlPlains,Ecoregion
strd_lasso,valin,alpha0.01,23,40.91026102,0.386205305,0.348758945,0.261586359,0.319406639,19.29835632,-21.7336587,CntlPlains,Ecoregion
strd_lasso,valnit,alpha0.01,23,9.347228585,0.643573786,0.558180005,0.156963563,0.279094198,22.58923201,-10.91191279,CntlPlains,Ecoregion
strd_mlr,train,forwardklim80,14,7.202242222,0.867178426,0.862361064,0.093805337,0.13401755,4.687653933,-3.02E-14,CntlPlains,Ecoregion
strd_mlr,valin,forwardklim80,14,16.32656521,0.755045339,0.746160973,0.151375897,0.201778657,4.631396184,-1.89E-14,CntlPlains,Ecoregion
strd_mlr,valnit,forwardklim80,14,7.757925547,0.704176697,0.66473359,0.133550036,0.254262423,4.164864412,2.00E-14,CntlPlains,Ecoregion
strd_PCA_lasso,train,alpha0.01nc34,19,9.967702639,0.816178641,0.807011697,0.1188517,0.15766139,1,-3.23E-15,CntlPlains,Ecoregion
strd_PCA_lasso,valin,alpha0.01nc34,19,43.74938035,0.343608745,0.310875323,0.26527823,0.33030395,1.025625518,-21.79990783,CntlPlains,Ecoregion
