feature,VIF
Emb0,3.3666609150770435
Emb2,9.416802363329445
Emb6,3.5103360348434203
Emb10,5.053531737316282
Emb13,4.593945743158478
Emb15,4.277795629208026
Emb16,12.29555141551429
Emb17,18.081923205121686
Emb18,12.967943694146628
Emb21,5.716578199146874
Emb27,15.075039691854494
Emb36,44.0558300754029
Emb40,8.746395230003582
Emb41,11.296622808337474
Emb43,13.397952152165129
Emb50,4.809599190422913
Emb51,9.88608677700631
Emb52,14.93697512281301
Emb53,5.4734220967409275
Emb54,6.792906184817629
Emb66,9.968644849271554
Emb69,7.442045488396114
Emb70,7.662907530781102
Emb76,7.522062479333647
