feature,VIF
DRAIN_SQKM,6.118528288750075
PPTAVG_BASIN,4.50174521237601
T_MAX_BASIN,40.0321256504275
T_MAXSTD_BASIN,5.961664906026641
T_MIN_BASIN,64.00479605118802
T_MINSTD_BASIN,5.179439733113178
RH_BASIN,7.421826169603961
FST32F_BASIN,117.11844504718385
LST32F_BASIN,57.12868342427273
WD_BASIN,23.753266925943446
WDMAX_BASIN,9.922739565384136
PET,32.62503958129875
SNOW_PCT_PRECIP,17.5653953013071
STRAHLER_MAX,3.2703818770988837
PCT_NO_ORDER,4.3796989670660675
NDAMS_2009,5.332958689192576
DDENS_2009,2.137988824039789
STOR_NID_2009,1.737257499351515
CANALS_PCT,5.357085159234223
POWER_SUM_MW,1.8140133183869378
FRAGUN_BASIN,86.0879630619908
HGA,544427.7705151254
HGB,4327594.1018660655
HGC,2885589.1970128277
HGD,4077585.242604047
ROCKDEPAVE,4.791938420197486
SILTAVE,17.390033895442215
SANDAVE,17.091057256610938
ELEV_MEAN_M_BASIN,24.590167800576435
SLOPE_PCT,4.469363295529319
ASPECT_DEGREES,1.3530924377525368
TS_Housing_HDEN,147.18560985163484
TS_NLCD_11,2.0836325010729557
TS_NLCD_31,1.9300422094216998
TS_NLCD_42,4.801956576536594
TS_NLCD_43,3.334833342273438
TS_NLCD_52,6.146801484698903
TS_NLCD_82,37.92286692669368
TS_NLCD_95,1.8833171911112154
TS_NLCD_AG_SUM,78.14726362879667
TS_NLCD_DEV_SUM,113.29868000639729
TS_Population_PDEN,143.02038727846264
