feature,VIF
DRAIN_SQKM,4.206365842633144
PPTAVG_BASIN,2.2843778420109935
LST32F_BASIN,8.715582771293569
WD_BASIN,2.487821768314307
PET,15.36670962876229
NDAMS_2009,3.442784826841567
STOR_NID_2009,1.0797503817011633
POWER_SUM_MW,2.3992149181326394
FRAGUN_BASIN,9.66881319329608
HGA,1.726588784832504
HGB,1.708417413837661
HGCD,2.3248670729227547
ELEV_MEAN_M_BASIN,5.7942546498329826
ASPECT_DEGREES,1.2161362991622342
TS_Housing_HDEN,87.20838441284695
TS_NLCD_41,5.620557686854784
TS_NLCD_42,4.308977101560543
TS_NLCD_DEV_SUM,17.628095880239464
TS_Population_PDEN,102.054215801946
TS_WaterUse_wu,1.4680482411205702
