feature,VIF
DRAIN_SQKM,4.265835794181606
PPTAVG_BASIN,5.259843512713107
FST32F_BASIN,40.96174606946064
LST32F_BASIN,68.414518511872
WD_BASIN,5.811882502151038
PET,76.8803976785406
SNOW_PCT_PRECIP,26.509395854878342
TOPWET,2.8101290288727148
PCT_NO_ORDER,1.3172367961083697
DDENS_2009,1.823217353168812
STOR_NID_2009,3.588609275583883
CANALS_PCT,1.2172001476915324
MINING92_PCT,1.1583780259831005
POWER_SUM_MW,4.0168348969485725
FRAGUN_BASIN,76.1801256095195
HIRES_LENTIC_DENS,3.3053408786165166
HGA,16.133781050680078
HGB,103.86836908595973
HGAD,3.0327972549668827
HGC,64.22691659270474
HGD,34.01863681196139
HGCD,1.9981865212708814
PERMAVE,6.5792253079369045
CLAYAVE,4.924075714961009
SANDAVE,11.929154418107005
ELEV_MEAN_M_BASIN,5.386817055662398
SLOPE_PCT,6.778515965449944
ASPECT_DEGREES,1.4487091212538725
TS_Housing_HDEN,166.1186226025683
TS_NLCD_11,4.146344369488995
TS_NLCD_31,1.2151086390787134
TS_NLCD_42,6.803180806628394
TS_NLCD_43,2.7419401438735886
TS_NLCD_52,4.344954016046062
TS_NLCD_71,2.71150368439881
TS_NLCD_81,4.904122323494556
TS_NLCD_90,5.0778211148205195
TS_NLCD_AG_SUM,42.64287782236666
TS_NLCD_DEV_SUM,110.85569487932516
TS_NLCD_imperv,25.611523536490935
TS_Population_PDEN,161.77034754319624
TS_WaterUse_wu,1.6911872585351557
