feature,VIF
DRAIN_SQKM,18.90924650069629
BAS_COMPACTNESS,12.063089399399642
PPTAVG_BASIN,46.720117991894774
T_AVG_BASIN,40283.228754235
T_MAX_BASIN,7631.2789345181145
T_MAXSTD_BASIN,16.137320560649307
T_MIN_BASIN,1780.5935230247276
T_MINSTD_BASIN,18.007580131457733
RH_BASIN,82.95618451047483
FST32F_BASIN,2440.295204321957
LST32F_BASIN,1351.0887601172524
WD_BASIN,305.3605627747646
WDMAX_BASIN,767.3066273436194
WDMIN_BASIN,199.06492103239094
PET,26164.53897953388
SNOW_PCT_PRECIP,1596.9580348036657
PRECIP_SEAS_IND,686.5345673368582
GEOL_REEDBUSH_DOM_quarternary,inf
GEOL_REEDBUSH_DOM_sedimentary,inf
STREAMS_KM_SQ_KM,48.20157317037849
STRAHLER_MAX,13.601228073280966
TOPWET,17.18939236225495
PCT_NO_ORDER,45.334000775105544
NDAMS_2009,16.81478012279568
DDENS_2009,30.77092331072387
STOR_NID_2009,89.50671815757458
CANALS_PCT,45.57431804863294
MINING92_PCT,56.44983374464267
POWER_SUM_MW,11.44310831800514
FRAGUN_BASIN,375.7410583381088
HIRES_LENTIC_DENS,34.30982137485032
HGA,45035996273704.96
HGB,52983525027888.19
HGAD,762352878099.1106
HGC,19412067359355.586
HGD,97904339725445.56
HGAC,2458123.326744269
HGBD,90981810653949.42
HGCD,3839385871586.1006
HGBC,309026632406.1136
AWCAVE,155.86308288415438
PERMAVE,377.7049223416974
BDAVE,29.891104678460852
WTDEPAVE,183.87875878958687
ROCKDEPAVE,29.48819277323874
CLAYAVE,12338629116083.55
SILTAVE,20706205183312.625
SANDAVE,57370695890070.016
ELEV_MEAN_M_BASIN,45.58884886676852
RRMEDIAN,11.604941858544025
SLOPE_PCT,31.27218406128171
ASPECT_DEGREES,13.362853155727576
TS_Housing_HDEN,1114.667063965504
TS_NLCD_11,868590.3130044201
TS_NLCD_21,13564048.331423953
TS_NLCD_22,11878669.147334298
TS_NLCD_23,6330376.493080386
TS_NLCD_24,1188142.2140309613
TS_NLCD_31,197069.60210003902
TS_NLCD_41,5484820.226398525
TS_NLCD_42,12242664.803542472
TS_NLCD_43,215156.28253777628
TS_NLCD_52,2720061.06433137
TS_NLCD_71,1628518.7203184594
TS_NLCD_81,60314524.91721579
TS_NLCD_82,113163442.18390024
TS_NLCD_90,12843562.516302375
TS_NLCD_95,797169.7227904563
TS_NLCD_AG_SUM,207484509.37324554
TS_NLCD_DEV_SUM,146464249.67149922
TS_NLCD_imperv,170079.96393799377
TS_Population_PDEN,1124.1740041528453
TS_WaterUse_wu,8.409157622292618
TS_ag_hcrop,63.0692074512714
TS_ag_irrig,127.24445606584496
