feature,VIF
DRAIN_SQKM,2.952650151820605
PPTAVG_BASIN,30.460002542337676
T_MIN_BASIN,408.3774149947169
FST32F_BASIN,195.3834369070682
LST32F_BASIN,201.1737602435712
WD_BASIN,9.594607181883914
PET,274.1101497532955
SNOW_PCT_PRECIP,26.229521110479514
STRAHLER_MAX,1.9079750851859298
NDAMS_2009,3.577821025320812
DDENS_2009,2.4795635150681563
STOR_NID_2009,6.407605322298911
CANALS_PCT,2.5575975006605387
POWER_SUM_MW,2.737472186250231
HIRES_LENTIC_DENS,6.940522831722997
HGA,758.8127391988781
HGB,3839.234602309782
HGC,1547.5359005508963
HGD,3028.2351427465487
ROCKDEPAVE,7.387984967301267
CLAYAVE,17.541154841059598
SANDAVE,8.719045425473457
ELEV_MEAN_M_BASIN,28.871086752019945
SLOPE_PCT,7.2060996149114125
ASPECT_DEGREES,1.5496456306531836
TS_Housing_HDEN,74.86875886622387
TS_NLCD_11,8.141882057761354
TS_NLCD_41,20.444895451161567
TS_NLCD_42,51.485291902532325
TS_NLCD_52,184.9780634830739
TS_NLCD_71,177.20872086138584
TS_NLCD_81,23.338054098143473
TS_NLCD_82,200.4720922588797
TS_NLCD_90,2.4046971803648005
TS_Population_PDEN,135.89836961136734
TS_WaterUse_wu,2.7591792751989805
